Date,Open,High,Low,Close,Adj Close,Volume,Label
6/4/20,181.279999,188.600006,177.399994,184.300003,184.300003,67155600,203.410004
6/5/20,205,218.789993,197.360001,205.429993,205.429993,99846000,170
6/8/20,222.940002,234.199997,218.929993,230.5,230.5,80902800,189.509995
6/9/20,222.139999,227,213.080002,216.740005,216.740005,66688700,190.940002
6/10/20,211.169998,213.029999,197.399994,203.410004,203.410004,90384900,197.770004
6/11/20,179.350006,192.179993,166.009995,170,170,103212800,192.539993
6/12/20,187.149994,191.300003,176.259995,189.509995,189.509995,89550100,192.289993
6/15/20,177.179993,193.229996,175.889999,190.940002,190.940002,78612900,187.020004
6/16/20,207.149994,208.300003,192.600006,197.770004,197.770004,76496900,188.520004
6/17/20,194.520004,196.429993,191.25,192.539993,192.539993,53085400,187.880005
6/18/20,188.240005,198.029999,187.199997,192.289993,192.289993,60849900,176.690002
6/19/20,197.899994,197.960007,184.570007,187.020004,187.020004,67262100,174.880005
6/22/20,184.559998,188.699997,181.899994,188.520004,188.520004,53901500,170.009995
6/23/20,189.300003,190.119995,183.550003,187.880005,187.880005,50281300,194.490005
6/24/20,183.610001,185.199997,176.070007,176.690002,176.690002,56534800,183.300003
6/25/20,169.869995,177.5,169.589996,174.880005,174.880005,57335700,180.320007
6/26/20,173.419998,173.850006,167.600006,170.009995,170.009995,50644400,180.809998
6/29/20,181,194.5,176.270004,194.490005,194.490005,78499900,187.910004
6/30/20,188.020004,188.490005,180.380005,183.300003,183.300003,65493100,178.880005
7/1/20,185.880005,190.610001,180.039993,180.320007,180.320007,49036700,180.080002
7/2/20,185.580002,187.789993,180.429993,180.809998,180.809998,41792300,173.279999
7/6/20,184.520004,189.360001,181.600006,187.910004,187.910004,49471700,178.440002
7/7/20,185.070007,185.070007,178.649994,178.880005,178.880005,37105300,175.649994
7/8/20,179.050003,181.580002,175.509995,180.080002,180.080002,38116200,179.960007
7/9/20,179.669998,180.75,172.809998,173.279999,173.279999,33514500,187.940002
7/10/20,171.699997,179.330002,169.75,178.440002,178.440002,40955600,178.699997
7/13/20,180.199997,183.25,174.360001,175.649994,175.649994,43364700,175.660004
7/14/20,177,181.300003,173.410004,179.960007,179.960007,39256200,174.419998
7/15/20,185.539993,189.529999,181.25,187.940002,187.940002,48044800,178.630005
7/16/20,184.320007,184.589996,177.339996,178.699997,178.699997,35050000,179.789993
7/17/20,178.410004,181.100006,175.550003,175.660004,175.660004,26170500,176.449997
7/20/20,175.130005,176.570007,171.619995,174.419998,174.419998,25294300,173.759995
7/21/20,178.429993,182.649994,176.75,178.630005,178.630005,40774500,170.210007
7/22/20,176.429993,182.949997,175.389999,179.789993,179.789993,29790300,170.839996
7/23/20,178,182.5,175.419998,176.449997,176.449997,29587200,166.009995
7/24/20,175.679993,181.100006,173.600006,173.759995,173.759995,28548000,161.949997
7/27/20,173.190002,174.139999,169,170.210007,170.210007,30243800,158
7/28/20,168.5,173.740005,168.229996,170.839996,170.839996,25349100,162.270004
7/29/20,172.899994,173.009995,162.25,166.009995,166.009995,51709600,165.070007
7/30/20,162.880005,164.550003,160.639999,161.949997,161.949997,29140000,174.279999
7/31/20,161.550003,163.399994,156.259995,158,158,30286700,172.199997
8/3/20,156.509995,163.580002,153.410004,162.270004,162.270004,38520500,170.020004
8/4/20,164.630005,167.399994,163.009995,165.070007,165.070007,30853500,179.410004
8/5/20,167.600006,174.979996,166.399994,174.279999,174.279999,46551000,180.130005
8/6/20,172.800003,175.570007,170.600006,172.199997,172.199997,32921600,175.440002
8/7/20,171.5,171.860001,168.699997,170.020004,170.020004,19318000,174.729996
8/10/20,171.360001,179.789993,171.330002,179.410004,179.410004,35857700,178.080002
8/11/20,184.509995,189.970001,179.529999,180.130005,180.130005,61036600,172.009995
8/12/20,184.009995,184.149994,173.190002,175.440002,175.440002,40702400,170.229996
8/13/20,173.619995,179.470001,172.429993,174.729996,174.729996,22958800,169.270004
8/14/20,173.089996,179.470001,172.350006,178.080002,178.080002,32414100,169.580002
8/17/20,178.240005,178.289993,171.410004,172.009995,172.009995,23352100,167.5
8/18/20,172.009995,173.240005,169.009995,170.229996,170.229996,21488500,178.270004
8/19/20,170.440002,174.100006,169.089996,169.270004,169.270004,25601500,174.729996
8/20/20,168.539993,170.839996,165.860001,169.580002,169.580002,23213400,171.899994
8/21/20,168.350006,170.080002,167.270004,167.5,167.5,16945900,174.199997
8/24/20,168.779999,178.270004,167.929993,178.270004,178.270004,39317100,175.800003
8/25/20,180.460007,180.630005,172.440002,174.729996,174.729996,31318500,171.820007
8/26/20,173.800003,174.429993,171.350006,171.899994,171.899994,16189800,172.100006
8/27/20,174.710007,181.309998,173.559998,174.199997,174.199997,29548100,174.779999
8/28/20,175.110001,177.279999,172.570007,175.800003,175.800003,20383900,168.770004
8/31/20,174.649994,175.270004,171.699997,171.820007,171.820007,16264300,171.050003
9/1/20,170.710007,175.490005,169.25,172.100006,172.100006,18997400,161.080002
9/2/20,172.740005,175,171.449997,174.779999,174.779999,16552100,160.779999
9/3/20,175,180.850006,168.119995,168.770004,168.770004,27799400,157.690002
9/4/20,171.309998,172.830002,164,171.050003,171.050003,18867300,160.229996
9/8/20,165.800003,166.899994,160.5,161.080002,161.080002,22622700,165.350006
9/9/20,161.610001,163.059998,157,160.779999,160.779999,21951400,163.490005
9/10/20,160.960007,163.779999,157.570007,157.690002,157.690002,14532600,167.460007
9/11/20,158,161.360001,156.320007,160.229996,160.229996,14722400,167.529999
9/14/20,161.75,165.940002,158.899994,165.350006,165.350006,17228400,161.139999
9/15/20,166.649994,168.839996,163.330002,163.490005,163.490005,14881700,156.350006
9/16/20,161.949997,170.570007,160.309998,167.460007,167.460007,21851400,156.800003
9/17/20,164.630005,168.460007,161.050003,167.529999,167.529999,19717800,151.179993
9/18/20,165.660004,169.720001,161.020004,161.139999,161.139999,22057100,146.050003
9/21/20,157.830002,158.830002,154.199997,156.350006,156.350006,23125300,156.029999
9/22/20,156.809998,160.070007,154.949997,156.800003,156.800003,17768900,166.080002
9/23/20,157.330002,160.419998,150.889999,151.179993,151.179993,18247500,163.600006
9/24/20,150.289993,150.309998,145.020004,146.050003,146.050003,27098100,165.259995
9/25/20,146.850006,156.309998,146.419998,156.029999,156.029999,29123000,167.860001
9/28/20,160.330002,168,159.199997,166.080002,166.080002,38868200,168.080002
9/29/20,164.770004,165.5,162.009995,163.600006,163.600006,19874700,171.199997
9/30/20,164.5,170.979996,164.110001,165.259995,165.259995,38436700,159.539993
10/1/20,170.149994,172.759995,165.570007,167.860001,167.860001,30677100,164.610001
10/2/20,161.860001,169.779999,161.800003,168.080002,168.080002,31773800,168
10/5/20,169.490005,172.080002,167.509995,171.199997,171.199997,19082100,167.330002
10/6/20,173.039993,175.559998,159.330002,159.539993,159.539993,47132500,167.350006
10/7/20,163.710007,166.339996,162.380005,164.610001,164.610001,26019100,162.139999
10/8/20,166.220001,168.089996,163.539993,168,168,20598600,163.240005
10/9/20,169.929993,170,166.820007,167.330002,167.330002,17406000,164.240005
10/12/20,167.75,169.199997,165.949997,167.350006,167.350006,12176600,167.350006
10/13/20,165.360001,165.529999,162.089996,162.139999,162.139999,15182600,167.110001
10/14/20,162.699997,165.169998,162.490005,163.240005,163.240005,10541800,167.240005
10/15/20,161.009995,164.539993,158.729996,164.240005,164.240005,13226800,163.860001
10/16/20,171.220001,173.419998,167.270004,167.350006,167.350006,31780600,169.070007
10/19/20,169.089996,170.839996,166.110001,167.110001,167.110001,16519600,167.360001
10/20/20,168.289993,169.289993,166.179993,167.240005,167.240005,12319900,160.830002
10/21/20,166.440002,167.630005,163.820007,163.860001,163.860001,11450600,155.240005
10/22/20,164.699997,169.630005,164.100006,169.070007,169.070007,14238200,148.139999
10/23/20,169.990005,170.259995,166.050003,167.360001,167.360001,10024200,148.289993
10/26/20,164.949997,165.5,159.050003,160.830002,160.830002,16151100,144.389999
10/27/20,159.160004,160.25,155,155.240005,155.240005,15491900,148.600006
10/28/20,153,153.949997,148,148.139999,148.139999,20279800,153.649994
10/29/20,148.029999,150.100006,146.600006,148.289993,148.289993,14554300,151.630005
10/30/20,147.199997,149.169998,141.580002,144.389999,144.389999,15374700,157.089996
11/2/20,145.75,149.589996,143.380005,148.600006,148.600006,13854600,157.740005
11/3/20,151.830002,154.820007,150.639999,153.649994,153.649994,12249800,179.360001
11/4/20,153.169998,155.399994,151.169998,151.630005,151.630005,11344700,188.690002
11/5/20,152.479996,157.630005,152.100006,157.089996,157.089996,12328300,182.149994
11/6/20,156.330002,158.470001,154.520004,157.740005,157.740005,8995600,176.720001
11/9/20,179,184.460007,172.160004,179.360001,179.360001,49014400,187.110001
11/10/20,182.800003,193.949997,180.380005,188.690002,188.690002,46404300,202.399994
11/11/20,189.889999,190,180.410004,182.149994,182.149994,29907800,210.050003
11/12/20,178.949997,184.589996,176.25,176.720001,176.720001,20288400,203.300003
11/13/20,179,187.270004,178.710007,187.110001,187.110001,19724500,205.669998
11/16/20,194.559998,202.940002,191.350006,202.399994,202.399994,40562800,199.619995
11/17/20,200.25,211.199997,196.050003,210.050003,210.050003,38299300,211.529999
11/18/20,223.020004,223.020004,203,203.300003,203.300003,65990700,218.490005
11/19/20,200.449997,209.440002,199.899994,205.669998,205.669998,34236100,217.610001
11/20/20,204.589996,206.580002,199.169998,199.619995,199.619995,18230900,216.5
11/23/20,203.240005,214.210007,201.869995,211.529999,211.529999,28372400,210.710007
11/24/20,219.429993,222.949997,215.759995,218.490005,218.490005,31132000,213.009995
11/25/20,217.710007,221,213.089996,217.610001,217.610001,19254100,223.850006
11/27/20,218.25,219.929993,216.039993,216.5,216.5,9970200,237.199997
11/30/20,215.699997,217.779999,208.520004,210.710007,210.710007,16501900,232.710007
12/1/20,214.309998,218.089996,213,213.009995,213.009995,15805200,238.169998
12/2/20,213.009995,224.990005,210.300003,223.850006,223.850006,25912300,236.570007
12/3/20,228.300003,242,226.529999,237.199997,237.199997,45945100,232.059998
12/4/20,236.360001,238.179993,230.25,232.710007,232.710007,29378400,234.429993
12/7/20,238.5,244.080002,237.110001,238.169998,238.169998,33246700,230.330002
12/8/20,238.699997,241.699997,234.460007,236.570007,236.570007,19682000,228.619995
12/9/20,238.639999,240.839996,228.279999,232.059998,232.059998,19043600,229.5
12/10/20,228.100006,237.009995,228.020004,234.429993,234.429993,16185000,225.869995
12/11/20,232.820007,236.220001,228.330002,230.330002,230.330002,17311800,221.240005
12/14/20,235,237.630005,228.369995,228.619995,228.619995,19231200,219.75
12/15/20,230,232.5,224.360001,229.5,229.5,19013200,219.309998
12/16/20,229.330002,232.369995,225.300003,225.869995,225.869995,17858400,218.779999
12/17/20,227.240005,228.490005,220.529999,221.240005,221.240005,17465600,219.690002
12/18/20,222.050003,223.460007,218.610001,219.75,219.75,19092800,217.149994
12/21/20,212.339996,219.429993,211.100006,219.309998,219.309998,18726500,216.089996
12/22/20,223.279999,223.889999,217.699997,218.779999,218.779999,13280000,216.25
12/23/20,219.550003,224.399994,219.320007,219.690002,219.690002,10869000,216.669998
12/24/20,219.619995,219.880005,216.050003,217.149994,217.149994,6398500,214.059998
12/28/20,218.190002,219.199997,215.160004,216.089996,216.089996,9090600,202.720001
